,date,close,diff,open,high,low,volume
6850,2013-04-29,1481000,5000,1491000,1492000,1475000,170003
6851,2013-04-26,1486000,8000,1495000,1497000,1472000,233032
6852,2013-04-25,1494000,8000,1470000,1494000,1470000,209278
6853,2013-04-24,1486000,3000,1485000,1494000,1474000,201731
6854,2013-04-23,1483000,20000,1500000,1503000,1474000,177297
6855,2013-04-22,1503000,28000,1490000,1503000,1465000,186717
6856,2013-04-19,1475000,8000,1465000,1492000,1455000,314080
6857,2013-04-18,1483000,35000,1520000,1522000,1481000,267168
6858,2013-04-17,1518000,10000,1566000,1566000,1514000,209822
6859,2013-04-16,1528000,5000,1505000,1532000,1501000,371037
6840,2013-04-15,1523000,6000,1503000,1535000,1503000,215346
6841,2013-04-12,1517000,23000,1540000,1550000,1513000,214881
6842,2013-04-11,1540000,19000,1521000,1540000,1518000,225830
6843,2013-04-10,1521000,7000,1540000,1540000,1513000,235594
6844,2013-04-09,1528000,8000,1527000,1530000,1510000,184880
6845,2013-04-08,1520000,15000,1505000,1531000,1497000,259190
6846,2013-04-05,1505000,1000,1505000,1516000,1493000,299547
6847,2013-04-04,1506000,15000,1517000,1519000,1499000,214009
6848,2013-04-03,1521000,4000,1526000,1528000,1509000,217654
6849,2013-04-02,1525000,13000,1510000,1532000,1510000,171497
6830,2013-04-01,1512000,15000,1535000,1535000,1512000,105910
6831,2013-03-29,1527000,17000,1524000,1532000,1517000,190674
6832,2013-03-28,1510000,6000,1503000,1510000,1497000,159792
6833,2013-03-27,1504000,5000,1515000,1516000,1487000,257628
6834,2013-03-26,1509000,14000,1495000,1522000,1491000,336600
6835,2013-03-25,1495000,40000,1480000,1495000,1470000,205441
6836,2013-03-22,1455000,2000,1458000,1468000,1452000,213742
6837,2013-03-21,1457000,3000,1461000,1474000,1456000,235371
6838,2013-03-20,1460000,15000,1460000,1485000,1456000,270315
6839,2013-03-19,1475000,30000,1450000,1492000,1448000,279542
6820,2013-03-18,1445000,35000,1460000,1460000,1434000,528791
6821,2013-03-15,1480000,40000,1529000,1529000,1480000,732367
6822,2013-03-14,1520000,7000,1528000,1534000,1499000,251156
6823,2013-03-13,1527000,33000,1506000,1529000,1501000,226071
6824,2013-03-12,1494000,14000,1504000,1512000,1490000,174931
6825,2013-03-11,1508000,9000,1493000,1512000,1485000,274965
6826,2013-03-08,1499000,21000,1515000,1517000,1489000,378820
6827,2013-03-07,1520000,40000,1548000,1550000,1512000,269654
6828,2013-03-06,1560000,10000,1572000,1575000,1547000,202973
6829,2013-03-05,1550000,11000,1556000,1564000,1548000,185892
6810,2013-03-04,1539000,5000,1563000,1563000,1530000,265537
6811,2013-02-28,1544000,17000,1530000,1554000,1530000,255684
6812,2013-02-27,1527000,0,1559000,1559000,1519000,178764
