,date,close,diff,open,high,low,volume
4698,2004-11-03,12750,550,12200,12750,12150,12830501
4699,2004-11-02,12200,50,12150,12250,11800,9179152
4700,2004-11-01,12150,550,12800,13000,12000,10647892
4701,2004-10-29,12700,250,12750,12850,12500,7629898
4702,2004-10-28,12950,1050,12400,12950,12300,13177842
4703,2004-10-27,11900,250,12400,12450,11550,10945810
4704,2004-10-26,12150,450,12900,13250,12050,16186044
4685,2004-10-25,12600,150,12300,12800,12250,9570967
4686,2004-10-22,12450,450,13000,13200,12200,13947757
4687,2004-10-21,12900,50,13050,13250,12250,12348243
4688,2004-10-20,12950,500,13500,13700,12850,9396497
4689,2004-10-19,13450,400,14250,14350,13150,13617198
4690,2004-10-18,13850,350,14450,14850,13750,10634674
4691,2004-10-15,14200,700,13200,14200,13200,11895625
4692,2004-10-14,13500,100,13100,13750,12900,11664143
4693,2004-10-13,13400,50,13650,13850,13150,12659167
4694,2004-10-12,13350,1050,14350,14350,13350,12314205
4675,2004-10-11,14400,100,14550,14750,14050,14597066
4676,2004-10-08,14300,650,13700,15150,13400,33972605
4677,2004-10-07,13650,900,12950,13700,12850,19655066
4678,2004-10-06,12750,900,11900,13350,11650,22420875
4679,2004-10-05,11850,250,11650,12150,11550,14382022
4680,2004-10-04,11600,500,11550,11750,11450,7555624
4681,2004-10-01,11100,600,10600,11450,10600,8058572
4682,2004-09-30,10500,100,10350,10750,10350,4136379
4683,2004-09-24,10400,0,10450,10600,10150,3980539
4684,2004-09-23,10400,100,10300,10600,10300,3398997
4665,2004-09-22,10500,500,11050,11150,10500,6379705
4666,2004-09-21,11000,300,10900,11150,10850,7871367
4667,2004-09-20,10700,250,10400,10950,10250,13039004
4668,2004-09-17,10950,200,11350,11400,10900,7183509
4669,2004-09-16,11150,250,11250,11550,10950,7431845
4670,2004-09-15,11400,550,10900,11600,10600,10503181
4671,2004-09-14,10850,50,10950,11050,10550,7038694
4672,2004-09-13,10800,600,10500,10900,10450,10823082
4673,2004-09-10,10200,240,10250,10350,10150,6740095
4674,2004-09-09,9960,10,10000,10050,9800,3826260
